2018-11-07 13:38:02 INFO  Crawler:218 - ============== Start Crawler =============
2018-11-07 13:38:02 INFO  Crawler:219 - CONFIG FILE    : ./config/config_naver_news.json
2018-11-07 13:38:02 INFO  Crawler:223 - CRAWLER NAME   : naver_news
2018-11-07 13:38:02 INFO  Crawler:224 - CRAWLER TYPE   : SCENARIO_STATIC
2018-11-07 13:38:02 INFO  Crawler:225 - CRAWLER DELAY  : 3 sec
2018-11-07 13:38:02 INFO  Crawler:226 - IGNORE ROBOTS  : true
2018-11-07 13:38:02 INFO  Crawler:227 - LIMIT_COUNT    : -1
2018-11-07 13:38:02 INFO  Crawler:228 - FILTER COUNT   : 0
2018-11-07 13:38:02 INFO  Crawler:232 - SCENARIO COUNT : 4
2018-11-07 13:38:02 INFO  Crawler:233 - COLLECT COUNT  : 1
2018-11-07 13:38:02 INFO  Crawler:234 - SAVE TYPE      : DB
2018-11-07 13:38:02 INFO  Crawler:235 - SAVE HTML      : false
2018-11-07 13:38:02 INFO  Crawler:236 - ==========================================
2018-11-07 13:38:07 ERROR Crawler:258 - [ERR URL] https://news.naver.com/main/list.nhn?mode=LPOD&date=20181105&mid=sec&oid=138&listType=title
2018-11-07 13:38:07 ERROR Crawler:261 - L ERR_SCEN_ELEMENT : #main_content > div.paging > a
2018-11-07 13:38:07 ERROR Crawler:261 - L ERR_SCEN_ELEMENT : #main_content > div.pagenavi_day > a:nth-child(5)
2018-11-07 13:38:07 INFO  Crawler:265 - [Progress 1] save : 0, err : 2, remain_work : 51, total : 52
2018-11-07 13:38:56 INFO  Crawler:265 - [Progress 17] save : 2, err : 2, remain_work : 35, total : 52
2018-11-07 13:38:59 INFO  Crawler:265 - [Progress 18] save : 2, err : 2, remain_work : 34, total : 52
2018-11-07 13:39:02 INFO  Crawler:265 - [Progress 19] save : 2, err : 2, remain_work : 33, total : 52
2018-11-07 13:39:05 INFO  Crawler:265 - [Progress 20] save : 3, err : 2, remain_work : 32, total : 52
2018-11-07 13:39:09 INFO  Crawler:265 - [Progress 21] save : 3, err : 2, remain_work : 31, total : 52
2018-11-07 13:39:12 INFO  Crawler:265 - [Progress 22] save : 4, err : 2, remain_work : 30, total : 52
2018-11-07 13:39:15 INFO  Crawler:265 - [Progress 23] save : 4, err : 2, remain_work : 29, total : 52
2018-11-07 13:39:18 INFO  Crawler:265 - [Progress 24] save : 4, err : 2, remain_work : 28, total : 52
2018-11-07 13:39:21 INFO  Crawler:265 - [Progress 25] save : 5, err : 2, remain_work : 27, total : 52
2018-11-07 13:39:24 INFO  Crawler:265 - [Progress 26] save : 5, err : 2, remain_work : 26, total : 52
2018-11-07 13:39:27 INFO  Crawler:265 - [Progress 27] save : 6, err : 2, remain_work : 25, total : 52
2018-11-07 13:39:30 INFO  Crawler:265 - [Progress 28] save : 7, err : 2, remain_work : 24, total : 52
2018-11-07 13:39:33 INFO  Crawler:265 - [Progress 29] save : 7, err : 2, remain_work : 23, total : 52
2018-11-07 13:39:36 INFO  Crawler:265 - [Progress 30] save : 7, err : 2, remain_work : 22, total : 52
2018-11-07 13:39:39 INFO  Crawler:265 - [Progress 31] save : 7, err : 2, remain_work : 21, total : 52
2018-11-07 13:39:43 INFO  Crawler:265 - [Progress 32] save : 7, err : 2, remain_work : 20, total : 52
2018-11-07 13:39:46 INFO  Crawler:265 - [Progress 33] save : 7, err : 2, remain_work : 19, total : 52
2018-11-07 13:39:49 INFO  Crawler:265 - [Progress 34] save : 8, err : 2, remain_work : 18, total : 52
2018-11-07 13:39:52 INFO  Crawler:265 - [Progress 35] save : 9, err : 2, remain_work : 17, total : 52
2018-11-07 13:39:55 INFO  Crawler:265 - [Progress 36] save : 9, err : 2, remain_work : 16, total : 52
2018-11-07 13:39:58 INFO  Crawler:265 - [Progress 37] save : 9, err : 2, remain_work : 15, total : 52
2018-11-07 13:40:01 INFO  Crawler:265 - [Progress 38] save : 10, err : 2, remain_work : 14, total : 52
2018-11-07 13:40:04 INFO  Crawler:265 - [Progress 39] save : 11, err : 2, remain_work : 13, total : 52
2018-11-07 13:40:07 INFO  Crawler:265 - [Progress 40] save : 12, err : 2, remain_work : 12, total : 52
2018-11-07 13:40:10 INFO  Crawler:265 - [Progress 41] save : 12, err : 2, remain_work : 11, total : 52
2018-11-07 13:40:13 INFO  Crawler:265 - [Progress 42] save : 12, err : 2, remain_work : 10, total : 52
2018-11-07 13:40:17 INFO  Crawler:265 - [Progress 43] save : 13, err : 2, remain_work : 9, total : 52
2018-11-07 13:40:20 INFO  Crawler:265 - [Progress 44] save : 13, err : 2, remain_work : 8, total : 52
2018-11-07 13:40:23 INFO  Crawler:265 - [Progress 45] save : 13, err : 2, remain_work : 7, total : 52
2018-11-07 13:40:26 INFO  Crawler:265 - [Progress 46] save : 14, err : 2, remain_work : 6, total : 52
2018-11-07 13:40:29 INFO  Crawler:265 - [Progress 47] save : 14, err : 2, remain_work : 5, total : 52
2018-11-07 13:40:32 INFO  Crawler:265 - [Progress 48] save : 14, err : 2, remain_work : 4, total : 52
2018-11-07 13:40:35 INFO  Crawler:265 - [Progress 49] save : 14, err : 2, remain_work : 3, total : 52
2018-11-07 13:40:38 INFO  Crawler:265 - [Progress 50] save : 14, err : 2, remain_work : 2, total : 52
2018-11-07 13:40:41 INFO  Crawler:265 - [Progress 51] save : 14, err : 2, remain_work : 1, total : 52
2018-11-07 13:40:44 ERROR Crawler:258 - [ERR URL] https://news.naver.com//main/list.nhn?mode=LPOD&date=20181106&mid=sec&oid=138&listType=title
2018-11-07 13:40:44 ERROR Crawler:261 - L ERR_SCEN_ELEMENT : #main_content > div.paging > a
2018-11-07 13:40:44 INFO  Crawler:265 - [Progress 52] save : 14, err : 3, remain_work : 50, total : 102
2018-11-07 13:40:47 INFO  Crawler:265 - [Progress 53] save : 14, err : 3, remain_work : 49, total : 102
2018-11-07 13:40:50 INFO  Crawler:265 - [Progress 54] save : 14, err : 3, remain_work : 48, total : 102
2018-11-07 13:40:53 INFO  Crawler:265 - [Progress 55] save : 14, err : 3, remain_work : 47, total : 102
2018-11-07 13:40:57 INFO  Crawler:265 - [Progress 56] save : 14, err : 3, remain_work : 46, total : 102
2018-11-07 13:41:00 INFO  Crawler:265 - [Progress 57] save : 14, err : 3, remain_work : 45, total : 102
2018-11-07 13:41:03 INFO  Crawler:265 - [Progress 58] save : 14, err : 3, remain_work : 44, total : 102
2018-11-07 13:41:06 INFO  Crawler:265 - [Progress 59] save : 15, err : 3, remain_work : 43, total : 102
2018-11-07 13:41:09 INFO  Crawler:265 - [Progress 60] save : 15, err : 3, remain_work : 42, total : 102
2018-11-07 13:41:12 INFO  Crawler:265 - [Progress 61] save : 15, err : 3, remain_work : 41, total : 102
2018-11-07 13:41:15 INFO  Crawler:265 - [Progress 62] save : 15, err : 3, remain_work : 40, total : 102
2018-11-07 13:41:18 INFO  Crawler:265 - [Progress 63] save : 15, err : 3, remain_work : 39, total : 102
2018-11-07 13:41:22 INFO  Crawler:265 - [Progress 64] save : 15, err : 3, remain_work : 38, total : 102
2018-11-07 13:41:25 INFO  Crawler:265 - [Progress 65] save : 15, err : 3, remain_work : 37, total : 102
