2018-10-19 16:18:49 INFO  Crawler:232 - ============== Start Crawler =============
2018-10-19 16:18:49 INFO  Crawler:233 - CONFIG FILE    : ./config/config_filter.json
2018-10-19 16:18:49 INFO  Crawler:235 - CMD PARAM 00   : 그래픽카드
2018-10-19 16:18:49 INFO  Crawler:237 - CRAWLER NAME   : filter_based_dc_inside
2018-10-19 16:18:49 INFO  Crawler:238 - CRAWLER TYPE   : STATIC
2018-10-19 16:18:49 INFO  Crawler:239 - IGNORE ROBOTS  : true
2018-10-19 16:18:49 INFO  Crawler:240 - LIMIT_COUNT    : -1
2018-10-19 16:18:49 INFO  Crawler:241 - FILTER COUNT   : 10
2018-10-19 16:18:49 INFO  Crawler:245 - SCENARIO COUNT : 0
2018-10-19 16:18:49 INFO  Crawler:246 - COLLECT COUNT  : 1
2018-10-19 16:18:49 INFO  Crawler:247 - SAVE TYPE      : CSV
2018-10-19 16:18:49 INFO  Crawler:248 - SAVE HTML      : true
2018-10-19 16:18:49 INFO  Crawler:249 - ==========================================
2018-10-19 16:18:51 INFO  Crawler:276 - [Progress 1] save : 0, err : 0, remain_work : 39, total : 40
2018-10-19 16:18:51 INFO  Crawler:276 - [Progress 2] save : 1, err : 0, remain_work : 38, total : 40
2018-10-19 16:18:52 INFO  Crawler:276 - [Progress 3] save : 2, err : 0, remain_work : 37, total : 40
2018-10-19 16:18:53 INFO  Crawler:276 - [Progress 4] save : 3, err : 0, remain_work : 36, total : 40
2018-10-19 16:18:54 INFO  Crawler:276 - [Progress 5] save : 4, err : 0, remain_work : 35, total : 40
2018-10-19 16:18:55 INFO  Crawler:276 - [Progress 6] save : 5, err : 0, remain_work : 34, total : 40
2018-10-19 16:18:55 INFO  Crawler:276 - [Progress 7] save : 6, err : 0, remain_work : 33, total : 40
2018-10-19 16:18:56 INFO  Crawler:276 - [Progress 8] save : 7, err : 0, remain_work : 32, total : 40
2018-10-19 16:18:57 INFO  Crawler:276 - [Progress 9] save : 8, err : 0, remain_work : 31, total : 40
2018-10-19 16:18:58 INFO  Crawler:276 - [Progress 10] save : 9, err : 0, remain_work : 30, total : 40
2018-10-19 16:18:59 INFO  Crawler:276 - [Progress 11] save : 10, err : 0, remain_work : 29, total : 40
2018-10-19 16:18:59 INFO  Crawler:276 - [Progress 12] save : 11, err : 0, remain_work : 28, total : 40
2018-10-19 16:19:00 INFO  Crawler:276 - [Progress 13] save : 12, err : 0, remain_work : 27, total : 40
2018-10-19 16:19:01 INFO  Crawler:276 - [Progress 14] save : 13, err : 0, remain_work : 26, total : 40
2018-10-19 16:19:02 INFO  Crawler:276 - [Progress 15] save : 14, err : 0, remain_work : 25, total : 40
